Type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_time,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,7035,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152703251,0,83,0,5,0,"[0,0,3,14,4]"
CSI_DATA,7036,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152706991,0,83,0,5,0,"[0,0,-11,8,-12]"
CSI_DATA,7037,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152711392,0,83,0,5,0,"[0,0,-12,7,-13]"
CSI_DATA,7038,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152715362,0,83,0,5,0,"[0,0,0,13,0]"
CSI_DATA,7039,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152727494,0,83,0,5,0,"[0,0,-13,5,-15]"
CSI_DATA,7040,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152766512,0,83,0,5,0,"[0,0,12,6,14]"
CSI_DATA,7041,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152778847,0,83,0,5,0,"[0,0,1,-13,1]"
CSI_DATA,7042,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152783081,0,83,0,5,0,"[0,0,-15,-4,-16]"
CSI_DATA,7043,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152973206,0,83,0,5,0,"[0,0,1,-12,1]"
CSI_DATA,7044,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,152988645,0,83,0,5,0,"[0,0,7,-10,7]"
